path_or_group	tracked_count	disposition	reason	retained_evidence
runs/** (after 61 compact summary files moved)	1062	EXTERNALIZE_RAW	runtime/checkpoint/theta/JSONL/build-log tree	external full manifest and aggregate Git manifest
tier05_fork_20260712T090728Z/** (after 19 compact evidence files moved)	583	EXTERNALIZE_RAW	per-evaluation and large campaign runtime output	external full manifest and compact verdict/provenance archive
data/manifests/EXTERNAL_RAW_FILE_MANIFEST.tsv	1	EXTERNALIZE_RAW	14.6 MiB per-file legacy manifest	external original SHA plus compact aggregate row
data/manifests/HISTORICAL_IGNORED_FILE_MANIFEST.tsv	1	EXTERNALIZE_RAW	56.7 MiB per-file legacy manifest	external original SHA plus compact aggregate row
data/manifests/HISTORICAL_IGNORED_NESTED_CACHE_MANIFEST.tsv	1	EXTERNALIZE_RAW	legacy nested-cache per-file manifest	external original SHA plus compact aggregate row
artifacts/**	5	DELETE_GENERATED	mapping-only category layer	data policy and repository map
configs/README.md	1	DELETE_GENERATED	mapping-only duplicate of config	config/README.md
px4_overlay/README.md	1	DELETE_GENERATED	mapping-only duplicate	boards/README.md patches/README.md config/README.md
external/PX4-Autopilot/build/**	0	DELETE_GENERATED	reproducible ignored build output	setup scripts and tracked overlays
external/PX4-Autopilot (dirty ignored clone)	0	DELETE_GENERATED	all research changes covered by tracked patch/board/installer; clone was not canonical	external diagnostic diff/status plus tracked overlays
external/Micro-XRCE-DDS-Agent/build/**	0	DELETE_GENERATED	reproducible ignored build output	build script
ros2_ws/{build,install}/**	0	DELETE_GENERATED	reproducible ignored colcon output	ROS setup script
ros2_ws/log/**	0	EXTERNALIZE_RAW	generated build logs	external full manifest and aggregate Git manifest
cache and generated broken links	0	DELETE_GENERATED	pytest/Python/PX4 generated state	reproducible from active code
