controller,tag,duration_s,actuator_count,actuator_rate_hz,timestamp_sample_allocator_count,timestamp_sample_allocator_rate_hz,timestamp_sample_neural_count,timestamp_sample_neural_rate_hz
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_1p75_s2026062940,64.904,15209,234.33070380870208,1769,27.255639097744364,13440,207.07506471095775
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_1p75_s2026062941,63.952,14959,233.90980735551665,1704,26.644983737803354,13255,207.2648236177133
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_1p75_s2026062942,64.58,15127,234.23660576029732,1859,28.78600185816042,13268,205.4506039021369
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_2p05_s2026062940,64.684,15118,233.7208583266341,1734,26.807247541895986,13384,206.91361078473813
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_2p05_s2026062941,64.912,15192,234.0399309834853,1723,26.54362829677101,13469,207.4963026867143
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_2p05_s2026062942,64.648,15093,233.4642989728994,1721,26.621086499195645,13372,206.84321247370377
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_2p35_s2026062940,64.804,15161,233.9516079254367,1741,26.865625578667984,13420,207.0859823467687
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_2p35_s2026062941,64.532,15112,234.1783921155396,1774,27.49023740159921,13338,206.68815471394038
mcnn,switch_severity_dense_sweep_20260630_requested_rate_rad_s_2p35_s2026062942,64.42,15063,233.8248990996585,1681,26.09438062713443,13382,207.73051847252407
mcnn,switch_severity_dense_sweep_20260630_wind_m_s_0_s2026062940,64.428,15039,233.42335630471226,1750,27.162103433289875,13289,206.26125287142239
mcnn,switch_severity_dense_sweep_20260630_wind_m_s_0_s2026062941,64.552,15121,234.24525963564255,1709,26.474780022307595,13412,207.77047961333497
mcnn,switch_severity_dense_sweep_20260630_wind_m_s_0_s2026062942,64.736,15115,233.48677706376668,1664,25.70439940682155,13451,207.78237765694513
mcnn,switch_severity_dense_sweep_20260630_wind_m_s_1_s2026062940,64.532,15056,233.31060559102463,1800,27.89313828798116,13256,205.41746730304345
mcnn,switch_severity_dense_sweep_20260630_wind_m_s_1_s2026062941,64.032,15007,234.36719140429787,1803,28.157796101949028,13204,206.20939530234884
mcnn,switch_severity_dense_sweep_20260630_wind_m_s_1_s2026062942,64.94,15232,234.55497382198953,1581,24.345549738219898,13651,210.20942408376965
