route_field	status	semantic_definition	source_path	symbol	topic_or_event	collection_method	timestamp_source	writer_attribution	requires_px4_patch	family_a_applicability	confidence	limitations
declared_mode	DIRECT	control-plane navigation mode selected by PX4	external/PX4-Autopilot/src/modules/commander/Commander.cpp	Commander::Run; _vehicle_status_pub.publish	/fmu/out/vehicle_status nav_state	ROS subscription plus ULog vehicle_status	vehicle_status.timestamp in PX4 boot microseconds	not a writer signal	no	Offboard, External Mode, internal fallback	HIGH	nav_state does not prove target data path installation
registration_state	DIRECT	external component registration result and assigned IDs	external/PX4-Autopilot/src/modules/commander/ModeManagement.cpp	ModeManagement::checkNewRegistrations; checkUnregistrations	/fmu/out/register_ext_component_reply; /fmu/in/unregister_ext_component	collector records reply name, success, mode_id, executor_id, arming_check_id	PX4 stamps reply with hrt_absolute_time; DDS receive time also recorded	registration name identifies component control plane only	no	Dynamic External Mode and Mode Executor	HIGH	unregistration is a request; timeout removal needs vehicle_status and arming-check evidence
authority_source	DERIVED	arbitration outcome authorized to command the primary path	external/PX4-Autopilot/src/modules/commander/Commander.cpp; src/modules/commander/ModeManagement.cpp	Commander::updateControlMode; ModeManagement::getNavStateReplacementIfValid	vehicle_status plus vehicle_control_mode plus registration reply	RouteEventReducer joins nav_state, control flags, and assigned external mode ID	PX4 uORB timestamps	component name is retained for registered modes	no	all Family A routes	MEDIUM	Offboard has no registered component identity; derivation is invalid without matching data-plane events
producer_identity	INSTRUMENTATION_REQUIRED	concrete node or PX4 module producing authority-bearing setpoints	ros2 publisher event; external/PX4-Autopilot/src/modules/mc_pos_control/MulticopterPositionControl.cpp	OffboardAdapterContract publish_sequence; MulticopterPositionControl::Run	producer_publish plus route_observability EVENT_SETPOINT_CONSUMED	join producer-side identity/sequence log to PX4 consumption trace	producer monotonic timestamp and PX4 boot timestamp require a run clock bridge	ROS producer is explicit; PX4 consumer is explicit after patch	yes	P0 Offboard and Dynamic External Mode	MEDIUM	DDS/uORB do not natively preserve ROS node identity; multi-producer Offboard requires an additional correlation token
setpoint_level	DERIVED	active abstraction level such as position, velocity, attitude, rate, or torque	external/PX4-Autopilot/src/modules/commander/ModeUtil/setpoint_types.cpp; control_mode.cpp	mode_util::getControlMode; getVehicleControlMode	vehicle_control_mode flags and setpoint_config/reply	RouteEventReducer maps enabled control flags and registered setpoint type	vehicle_control_mode.timestamp	no writer attribution	no	all Family A routes	MEDIUM	flags show configured control levels, not which of multiple fresh topics won on every sample
setpoint_topic	DERIVED	authority-bearing uORB/DDS interface	external/PX4-Autopilot/src/modules/uxrce_dds_client/dds_topics.yaml; src/modules/mc_pos_control/MulticopterPositionControl.cpp	DDS topic map; _trajectory_setpoint_sub.update	/fmu/in/trajectory_setpoint; uORB trajectory_setpoint	collector combines configured setpoint type with receipt and patched consumption events	PX4 overwrites zero input timestamp at DDS ingress; consumption uses PX4 boot time	patched consumption identifies the consuming module	yes	P0 trajectory route	HIGH for P0	other setpoint types require equivalent instrumentation before broader experiments
message_freshness	DERIVED	age of the authority-bearing message at PX4 consumption	external/PX4-Autopilot/src/modules/uxrce_dds_client/uxrce_dds_client.cpp; src/modules/mc_pos_control/MulticopterPositionControl.cpp	on_request; MulticopterPositionControl::Run	trajectory_setpoint timestamp and route_observability subject_timestamp	collector computes max(0, consume_timestamp-subject_timestamp) in a single PX4 domain	PX4 boot microseconds after DDS ingress timestamp rewrite	consumer identity comes from patch	yes	P0 Offboard and External Mode	HIGH after patch	producer-to-DDS latency is separate and needs ROS/DDS receive stamps plus offset model
enabled_modules	DERIVED	controller modules required and enabled by the selected route	external/PX4-Autopilot/src/modules/commander/ModeUtil/control_mode.cpp	mode_util::getVehicleControlMode	vehicle_control_mode flag_*_enabled	collector maps flags to mc_pos_control, mc_att_control, mc_rate_control, control_allocator	vehicle_control_mode.timestamp	module identity derives from documented flag mapping	no	multicopter Family A	MEDIUM	a running process may be scheduled but not influence the sample; patched data events strengthen the derivation
bypassed_modules	DERIVED	nominal controller stages intentionally skipped by route configuration	external/PX4-Autopilot/src/modules/commander/ModeUtil/setpoint_types.cpp	mode_util::getControlMode	vehicle_control_mode flag_*_enabled	collector takes the complement of the expected multicopter route modules	vehicle_control_mode.timestamp	no writer attribution	no	multicopter Family A	MEDIUM	complement is profile-specific and must be recalculated for non-multicopter or direct-actuator routes
allocator_input	INSTRUMENTATION_REQUIRED	topic and module feeding control allocation	external/PX4-Autopilot/src/modules/mc_rate_control/MulticopterRateControl.cpp; src/modules/control_allocator/ControlAllocator.hpp	MulticopterRateControl::Run; ControlAllocator subscriptions	route_observability EVENT_ALLOCATOR_INPUT_PUBLISHED	patched structured event records vehicle_torque_setpoint and mc_rate_control writer	PX4 boot microseconds and subject uORB timestamp	WRITER_MC_RATE_CONTROL is explicit	yes	P0 multicopter classical cascade	HIGH after patch	patch covers instance 0 classical path; VTOL instance 1 and direct torque publishers need added IDs
actuator_writer	INSTRUMENTATION_REQUIRED	final module publishing actuator_motors	external/PX4-Autopilot/src/modules/control_allocator/ControlAllocator.cpp	ControlAllocator::publish_actuator_controls	route_observability EVENT_ACTUATOR_OUTPUT_PUBLISHED	patched structured event plus actuator_writer_collector.py	PX4 boot microseconds and actuator_motors subject timestamp	WRITER_CONTROL_ALLOCATOR is explicit	yes	P0 multicopter classical cascade	HIGH after patch	native uORB instance and ULog do not preserve publisher identity; other direct writers are outside this patch
actuator_output	DIRECT	actual commanded actuator values and validity	external/PX4-Autopilot/src/modules/control_allocator/ControlAllocator.cpp	ControlAllocator::publish_actuator_controls	actuator_motors and actuator_outputs	collector records finite channel count, min, and max; ULog retains full vector	actuator_motors.timestamp and timestamp_sample	paired patched writer event supplies identity	no	P0 SITL multicopter	HIGH	actuator_outputs may reflect driver/simulator timing later than actuator_motors
failsafe_state	DIRECT	active PX4 failure flags and top-level failsafe state	external/PX4-Autopilot/src/modules/commander/HealthAndArmingChecks/HealthAndArmingChecks.cpp	HealthAndArmingChecks::update	/fmu/out/failsafe_flags and vehicle_status.failsafe	collector stores active flag names and vehicle_status failsafe	PX4 boot microseconds	no writer attribution	no	all Family A routes	HIGH	flag publication proves detection state, not complete fallback installation
fallback_target	DERIVED	route selected to replace a failed or released primary route	external/PX4-Autopilot/src/modules/commander/Commander.cpp; src/modules/commander/ModeManagement.cpp	Commander::updateFailsafe; ModeManagement::checkUnregistrations	vehicle_status transition, failsafe_flags, executor result	collector records first internal nav_state selected after failure/release and then evaluates module/writer installation	PX4 boot microseconds	writer evidence comes from subsequent patched route events	no	Offboard loss, External Mode loss, executor RTL/Hold	MEDIUM	selected nav_state alone is insufficient; fallback_target remains provisional until required data-plane events appear
